[13/06/2019, 02:13] Berkay(2), Alexdrao_Hamsolo(773) adlý kiþiyi yaralý durumdan çýkardý.
[07/07/2019, 03:23] Berkay(3), Michael_Sherwood(3) adlý kiþinin VW'sini 0 olarak deðiþtirdi.
[22/07/2019, 16:45] Berkay(1) tüm araçlarý respawnladý. (576 adet)
[16/11/2019, 04:11] Berkay(1), Biddy_Boelter(1) adlý kiþiyi yaralý durumdan çýkardý.
[16/11/2019, 04:11] Berkay(1), Marc_Delgado(1404) adlý kiþiyi yaralý durumdan çýkardý.
[16/11/2019, 04:12] NULL(1404), Marc_Delgado(1404) adlý kiþiyi yaralý durumdan çýkardý.
[16/11/2019, 04:16] NULL(1404), Sucre_Zaragoza(32) adlý kiþiyi yaralý durumdan çýkardý.
[16/11/2019, 04:21] Darly(32), Sucre_Zaragoza(32) adlý kiþiyi yaralý durumdan çýkardý.
[16/11/2019, 04:30] Yusuf(1404), Orkun(17) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Yusuf(1404), Orkun(17) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Yusuf(1404), Orkun(17) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Yusuf(1404), Orkun(17) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Yusuf(1404), Orkun(17) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Orkun(17), Yusuf(1404) adlý kiþiyi tokatladý.
[16/11/2019, 04:30] Darly(32), Orkun(17) adlý kiþiyi tokatladý.
